new_user_id,original_user_id,new_exer_id,original_exer_id,new_knowledge_code,original_knowledge_code
1,21825,1,1,1,7
2,26787,2,2,2,12
3,33121,3,3,3,13
4,34037,4,48,4,14
5,36659,5,49,5,15
6,51933,6,50,6,16
7,51950,7,52,7,17
8,52574,8,58,8,18
9,53167,9,59,9,21
10,53221,10,72,10,22
11,55045,11,73,11,24
12,55165,12,74,12,25
13,56325,13,77,13,26
14,56965,14,84,14,27
15,58033,15,85,15,32
16,58161,16,119,16,33
17,59968,17,127,17,34
18,61394,18,128,18,36
19,62641,19,129,19,39
20,63205,20,130,20,40
21,64525,21,133,21,41
22,64527,22,163,22,42
23,64530,23,164,23,43
24,64531,24,165,24,46
25,64532,25,166,25,47
26,64535,26,172,26,48
27,64541,27,173,27,49
28,64542,28,174,28,50
29,64543,29,200,29,58
30,64548,30,204,30,61
31,64549,31,205,31,62
32,64550,32,213,32,64
33,64556,33,214,33,67
34,64636,34,215,34,69
35,64880,35,223,35,70
36,64888,36,225,36,74
37,64980,37,226,37,76
38,64988,38,227,38,77
39,65186,39,228,39,78
40,65194,40,230,40,79
41,65203,41,246,41,80
42,65236,42,247,42,81
43,66038,43,248,43,83
44,69931,44,250,44,84
45,70190,45,251,45,86
46,70363,46,326,46,90
47,70437,47,327,47,95
48,70443,48,328,48,103
49,70480,49,329,49,110
50,70485,50,330,50,165
51,70486,51,339,51,166
52,70540,52,340,52,172
53,70561,53,341,53,173
54,70568,54,342,54,178
55,70584,55,346,55,184
56,70592,56,347,56,190
57,70614,57,354,57,193
58,70633,58,355,58,197
59,70638,59,356,59,203
60,70646,60,357,60,204
61,70657,61,360,61,206
62,70659,62,361,62,209
63,70660,63,363,63,217
64,70663,64,364,64,220
65,70676,65,365,65,221
66,70677,66,366,66,223
67,70679,67,367,67,226
68,70682,68,368,68,230
69,70684,69,369,69,238
70,70687,70,399,70,240
71,70688,71,400,71,276
72,70691,72,405,72,277
73,70692,73,406,73,278
74,70693,74,407,74,279
75,70695,75,408,75,280
76,70699,76,409,76,288
77,70701,77,433,77,294
78,70702,78,436,78,295
79,70704,79,456,79,296
80,70706,80,457,80,297
81,70707,81,459,81,298
82,70708,82,462,82,299
83,70709,83,463,83,301
84,70713,84,464,84,303
85,70714,85,466,85,304
86,70715,86,467,86,305
87,70717,87,472,87,306
88,70727,88,477,88,307
89,70728,89,478,89,309
90,70729,90,598,90,310
91,70730,91,599,91,311
92,70731,92,600,92,312
93,70732,93,601,93,315
94,70733,94,639,94,316
95,70734,95,807,95,317
96,70736,96,808,96,321
97,70740,97,809,97,322
98,70743,98,810,98,323
99,70744,99,813,99,325
100,70745,100,814,100,331
101,70746,101,820,101,332
102,70748,102,821,102,333
103,70750,103,822,103,334
104,70752,104,847,104,336
105,70754,105,848,105,337
106,70756,106,849,106,338
107,70758,107,850,107,340
108,70759,108,851,108,346
109,70778,109,852,109,349
110,70797,110,853,110,355
111,70803,111,860,111,363
112,70804,112,861,112,368
113,70805,113,862,113,370
114,70807,114,865,114,371
115,70811,115,878,115,382
116,70812,116,879,,
117,70816,117,880,,
118,70818,118,881,,
119,70822,119,895,,
120,70823,120,896,,
121,70832,121,897,,
122,70842,122,898,,
123,70847,123,924,,
124,70850,124,925,,
125,70851,125,926,,
126,70852,126,938,,
127,70855,127,954,,
128,70868,128,955,,
129,70872,129,956,,
130,70874,130,960,,
131,70890,131,961,,
132,70892,132,962,,
133,70895,133,963,,
134,70897,134,964,,
135,70907,135,965,,
136,70912,136,966,,
137,70913,137,967,,
138,70914,138,968,,
139,70917,139,978,,
140,70918,140,979,,
141,70919,141,980,,
142,70938,142,1014,,
143,70939,143,1015,,
144,70940,144,1018,,
145,70943,145,1028,,
146,70944,146,1029,,
147,70946,147,1030,,
148,70949,148,1031,,
149,70950,149,1032,,
150,70951,150,1033,,
151,70952,151,1035,,
152,70954,152,1036,,
153,70955,153,1043,,
154,70958,154,1062,,
155,70983,155,1063,,
156,70987,156,1069,,
157,71005,157,1080,,
158,71006,158,1081,,
159,71007,159,1082,,
160,71010,160,1083,,
161,71012,161,1084,,
162,71014,162,1085,,
163,71015,163,1086,,
164,71016,164,1088,,
165,71017,165,1089,,
166,71018,166,1090,,
167,71019,167,1091,,
168,71020,168,1092,,
169,71021,169,1116,,
170,71022,170,1117,,
171,71024,171,1118,,
172,71026,172,1119,,
173,71029,173,1120,,
174,71030,174,1122,,
175,71031,175,1123,,
176,71034,176,1124,,
177,71037,177,1125,,
178,71066,178,1128,,
179,71067,179,1129,,
180,71068,180,1130,,
181,71069,181,1131,,
182,71070,182,1133,,
183,71071,183,1136,,
184,71073,184,1137,,
185,71078,185,1138,,
186,71079,186,1139,,
187,71087,187,1144,,
188,71089,188,1145,,
189,71090,189,1146,,
190,71091,190,1147,,
191,71093,191,1148,,
192,71094,192,1149,,
193,71096,193,1150,,
194,71097,194,1151,,
195,71098,195,1152,,
196,71099,196,1163,,
197,71104,197,1170,,
198,71105,198,1171,,
199,71106,199,1172,,
200,71113,200,1173,,
201,71119,201,1175,,
202,71122,202,1176,,
203,71123,203,1177,,
204,71124,204,1178,,
205,71127,205,1181,,
206,71129,206,1182,,
207,71130,207,1183,,
208,71131,208,1184,,
209,71134,209,1185,,
210,71135,210,1186,,
211,71136,211,1187,,
212,71137,212,1188,,
213,71141,213,1189,,
214,71142,214,1215,,
215,71143,215,1216,,
216,71144,216,1251,,
217,71145,217,1252,,
218,71146,218,1253,,
219,71147,219,1254,,
220,71148,220,1264,,
221,71149,221,1268,,
222,71150,222,1269,,
223,71151,223,1270,,
224,71152,224,1271,,
225,71154,225,1283,,
226,71155,226,1284,,
227,71156,227,1297,,
228,71158,228,1298,,
229,71172,229,1300,,
230,71173,230,1301,,
231,71174,231,1303,,
232,71178,232,1305,,
233,71180,233,1306,,
234,71181,234,1351,,
235,71184,235,1357,,
236,71186,236,1362,,
237,71188,237,1363,,
238,71190,238,1385,,
239,71202,239,1474,,
240,71203,240,1475,,
241,71207,241,1476,,
242,71208,242,1477,,
243,71211,243,1478,,
244,71213,244,1479,,
245,71216,245,1490,,
246,71218,246,1498,,
247,71219,247,1503,,
248,71224,248,1512,,
249,71230,249,1530,,
250,71231,250,1533,,
251,71232,251,1541,,
252,71234,252,1561,,
253,71235,253,1580,,
254,71263,254,1581,,
255,71273,255,1582,,
256,71291,256,1596,,
257,71297,257,1597,,
258,71418,258,1613,,
259,71419,259,1615,,
260,71427,260,1623,,
261,71430,261,1624,,
262,71433,262,1625,,
263,71467,263,1626,,
264,71551,264,1627,,
265,71556,265,1639,,
266,71557,266,1644,,
267,71558,267,1648,,
268,71560,268,1650,,
269,71561,269,1697,,
270,71563,270,1984,,
271,71564,271,1987,,
272,71570,272,2064,,
273,71571,273,2067,,
274,71572,274,2074,,
275,71573,275,2075,,
276,71740,276,2076,,
277,71743,277,2077,,
278,71807,278,2078,,
279,71809,279,2079,,
280,71810,280,2080,,
281,71820,281,2081,,
282,71821,282,2082,,
283,71823,283,2083,,
284,71824,284,2084,,
285,71826,285,2093,,
286,71829,286,2094,,
287,71830,287,2095,,
288,71831,288,2096,,
289,71872,289,2097,,
290,71873,290,2098,,
291,71876,291,2099,,
292,71877,292,2101,,
293,71880,293,2106,,
294,71881,294,2107,,
295,71883,295,2108,,
296,71907,296,2109,,
297,71918,297,2110,,
298,71996,298,2115,,
299,72055,299,2116,,
300,72059,300,2117,,
301,72060,301,2118,,
302,72063,302,2126,,
303,72093,303,2128,,
304,72327,304,2129,,
305,72374,305,2130,,
306,72378,306,2131,,
307,72380,307,2132,,
308,72537,308,2146,,
309,72720,309,2147,,
310,72726,310,2148,,
311,72728,311,2149,,
312,72729,312,2171,,
313,72730,313,2198,,
314,72735,314,2199,,
315,72738,315,2200,,
316,72829,316,2214,,
317,72880,317,2215,,
318,73100,318,2216,,
319,73104,319,2217,,
320,73214,320,2218,,
321,73289,321,2230,,
322,73321,322,2231,,
323,73453,323,2232,,
324,73522,324,2233,,
325,73593,325,2234,,
326,73600,326,2235,,
327,73604,327,2236,,
328,73633,328,2237,,
329,73684,329,2238,,
330,73685,330,2239,,
331,73702,331,2240,,
332,73791,332,2242,,
333,73962,333,2243,,
334,74018,334,2245,,
335,74064,335,2248,,
336,74087,336,2255,,
337,74269,337,2256,,
338,74384,338,2259,,
339,74433,339,2261,,
340,74434,340,2262,,
341,74510,341,2263,,
342,74651,342,2264,,
343,74673,343,2265,,
344,74674,344,2266,,
