source_skill_id,target_skill_id,relation_type
25,26,prerequisite
26,28,prerequisite
34,26,prerequisite
25,34,prerequisite
37,39,prerequisite
36,38,prerequisite
36,93,prerequisite
37,48,prerequisite
37,45,prerequisite
37,50,prerequisite
48,55,prerequisite
55,58,prerequisite
58,60,prerequisite
58,99,prerequisite
60,99,prerequisite
36,52,prerequisite
93,52,prerequisite
52,56,prerequisite
56,57,prerequisite
56,92,prerequisite
44,77,prerequisite
46,77,prerequisite
51,77,prerequisite
53,77,prerequisite
77,147,prerequisite
112,147,prerequisite
113,147,prerequisite
114,147,prerequisite
115,147,prerequisite
116,147,prerequisite
62,63,prerequisite
63,95,prerequisite
65,138,prerequisite
138,139,prerequisite
158,75,prerequisite
75,157,prerequisite
157,169,prerequisite
144,170,prerequisite
170,175,prerequisite
175,166,prerequisite
145,159,prerequisite
94,162,prerequisite
159,162,prerequisite
68,78,prerequisite
78,87,prerequisite
70,140,prerequisite
140,141,prerequisite
141,76,prerequisite
76,168,prerequisite
87,104,prerequisite
106,104,prerequisite
85,102,prerequisite
102,152,prerequisite
102,153,prerequisite
102,154,prerequisite
102,151,prerequisite
102,160,prerequisite
87,148,prerequisite
87,149,prerequisite
87,150,prerequisite
148,155,prerequisite
149,156,prerequisite
111,71,prerequisite
71,148,prerequisite
71,154,prerequisite
111,152,prerequisite
111,150,prerequisite
83,20,prerequisite
19,18,prerequisite
21,22,prerequisite
22,143,prerequisite
143,160,prerequisite
20,35,prerequisite
59,35,prerequisite
101,35,prerequisite
35,23,prerequisite
32,31,prerequisite
33,30,prerequisite
31,30,prerequisite
30,107,prerequisite
33,124,prerequisite
33,126,prerequisite
126,125,prerequisite
126,128,prerequisite
125,127,prerequisite
128,127,prerequisite
24,107,prerequisite
119,130,prerequisite
119,136,prerequisite
110,132,prerequisite
110,133,prerequisite
110,134,prerequisite
110,135,prerequisite
110,136,prerequisite
132,129,prerequisite
133,130,prerequisite
136,130,prerequisite
17,16,prerequisite
15,16,prerequisite
15,80,prerequisite
6,73,prerequisite
73,17,prerequisite
11,89,prerequisite
12,89,prerequisite
13,89,prerequisite
14,89,prerequisite
