from,to,from_knowledge_point_id,to_knowledge_point_id,from_knowledge_point_name,to_knowledge_point_name,score,reason,relation_kind
0,3,36,260,分页机制,虚页,0.5,fallback child_to_parent,containment
1,130,43,8095,死锁检测,死锁检测算法,0.5,fallback child_to_parent,containment
1,139,43,8919,死锁检测,死锁,0.5,fallback child_to_parent,containment
2,13,215,875,保护现场,进程切换,0.5,fallback child_to_parent,containment
4,67,358,4402,条件变量,信号量,0.5,fallback child_to_parent,containment
5,18,541,1242,启动页机制,初始化,0.5,fallback child_to_parent,containment
8,115,712,7416,硬时限,实时调度,0.5,fallback child_to_parent,containment
9,27,724,1895,虚拟内存管理,页管理机制,0.5,fallback child_to_parent,containment
9,80,724,5244,虚拟内存管理,管理机制,0.5,fallback child_to_parent,containment
9,120,724,7599,虚拟内存管理,取消段机制,0.5,fallback child_to_parent,containment
9,128,724,8013,虚拟内存管理,虚拟地址空间,0.5,fallback child_to_parent,containment
9,134,724,8567,虚拟内存管理,Swap分区,0.5,fallback child_to_parent,containment
9,157,724,9805,虚拟内存管理,逻辑地址空间,0.5,fallback child_to_parent,containment
10,155,735,9741,设备文件系统,虚拟设备,0.5,fallback child_to_parent,containment
11,66,760,4346,保护模式,CPU,0.5,fallback child_to_parent,containment
14,81,929,5259,应用软件,视频剪辑,0.5,fallback child_to_parent,containment
14,148,929,9373,应用软件,应用程序,0.5,fallback child_to_parent,containment
18,110,1242,7150,初始化,启动,0.5,fallback child_to_parent,containment
21,91,1441,5660,共享资源,锁,0.5,fallback child_to_parent,containment
21,169,1441,10482,共享资源,资源管理,0.5,fallback child_to_parent,containment
27,0,1895,36,页管理机制,分页机制,0.5,fallback child_to_parent,containment
28,139,1938,8919,死锁预防,死锁,0.5,fallback child_to_parent,containment
31,129,2079,8047,消息队列,进程通信机制,0.5,fallback child_to_parent,containment
33,26,2188,1854,设备管理子系统,设备管理,0.5,fallback child_to_parent,containment
34,129,2261,8047,共享内存,进程通信机制,0.5,fallback child_to_parent,containment
39,48,2478,3211,缺页,访存异常,0.5,fallback child_to_parent,containment
43,59,2730,3885,处理机调度,效率,0.5,fallback child_to_parent,containment
43,142,2730,9116,处理机调度,进程调度策略,0.5,fallback child_to_parent,containment
44,6,2765,590,程序,数据变量,0.5,fallback child_to_parent,containment
44,12,2765,813,程序,指令序列,0.5,fallback child_to_parent,containment
47,52,3150,3694,服务接口,接口,0.5,fallback child_to_parent,containment
47,112,3150,7197,服务接口,系统调用,0.5,fallback child_to_parent,containment
48,29,3211,2011,访存异常,异常,0.5,fallback child_to_parent,containment
49,146,3324,9295,索引节点,多级索引,0.5,fallback child_to_parent,containment
50,135,3360,8597,进程加载,进程创建,0.5,fallback child_to_parent,containment
51,11,3419,760,管态,保护模式,0.5,fallback child_to_parent,containment
53,67,3707,4402,PV操作,信号量,0.5,fallback child_to_parent,containment
53,137,3707,8750,PV操作,原子操作,0.5,fallback child_to_parent,containment
54,78,3807,5131,进程控制块,进程,0.5,fallback child_to_parent,containment
55,3,3813,260,虚拟页,虚页,0.5,fallback child_to_parent,containment
55,5,3813,541,虚拟页,启动页机制,0.5,fallback child_to_parent,containment
55,9,3813,724,虚拟页,虚拟内存管理,0.5,fallback child_to_parent,containment
56,7,3867,711,文件分配机制,逻辑块,0.5,fallback child_to_parent,containment
56,111,3867,7188,文件分配机制,扇区索引信息,0.5,fallback child_to_parent,containment
56,160,3867,10153,文件分配机制,文件分配,0.5,fallback child_to_parent,containment
60,16,3940,1105,页面置换算法,替换算法,0.5,fallback child_to_parent,containment
60,39,3940,2478,页面置换算法,缺页,0.5,fallback child_to_parent,containment
60,93,3940,5769,页面置换算法,局部置换算法,0.5,fallback child_to_parent,containment
62,22,3992,1476,优先级重置,最高响应比优先算法,0.5,fallback child_to_parent,containment
65,140,4310,9013,中断向量地址,中断,0.5,fallback child_to_parent,containment
66,68,4346,4449,CPU,单处理器,0.5,fallback child_to_parent,containment
66,76,4346,5015,CPU,寄存器,0.5,fallback child_to_parent,containment
66,98,4346,5968,CPU,处理机,0.5,fallback child_to_parent,containment
66,117,4346,7482,CPU,程序状态字寄存器,0.5,fallback child_to_parent,containment
67,25,4402,1853,信号量,2元信号量,0.5,fallback child_to_parent,containment
67,113,4402,7264,信号量,优先级反转,0.5,fallback child_to_parent,containment
67,121,4402,7637,信号量,信号量机制,0.5,fallback child_to_parent,containment
68,123,4449,7825,单处理器,并行性,0.5,fallback child_to_parent,containment
