from,to,from_knowledge_point_id,to_knowledge_point_id,from_knowledge_point_name,to_knowledge_point_name,score,reason,relation_kind
0,27,36,1895,分页机制,页管理机制,0.5,fallback db relation,prereq
3,0,260,36,虚页,分页机制,0.5,fallback db relation,prereq
3,55,260,3813,虚页,虚拟页,0.5,fallback db relation,prereq
4,156,358,9742,条件变量,管程,0.5,fallback db relation,prereq
5,55,541,3813,启动页机制,虚拟页,0.5,fallback db relation,prereq
6,44,590,2765,数据变量,程序,0.5,fallback db relation,prereq
7,56,711,3867,逻辑块,文件分配机制,0.5,fallback db relation,prereq
9,55,724,3813,虚拟内存管理,虚拟页,0.5,fallback db relation,prereq
11,51,760,3419,保护模式,管态,0.5,fallback db relation,prereq
11,152,760,9613,保护模式,CPU保护模式,0.5,fallback db relation,prereq
12,44,813,2765,指令序列,程序,0.5,fallback db relation,prereq
13,2,875,215,进程切换,保护现场,0.5,fallback db relation,prereq
16,60,1105,3940,替换算法,页面置换算法,0.5,fallback db relation,prereq
17,125,1199,7934,分时操作系统,时间片,0.5,fallback db relation,prereq
18,5,1242,541,初始化,启动页机制,0.5,fallback db relation,prereq
21,100,1441,6019,共享资源,临界资源,0.5,fallback db relation,prereq
22,62,1476,3992,最高响应比优先算法,优先级重置,0.5,fallback db relation,prereq
23,112,1511,7197,命令解释程序,系统调用,0.5,fallback db relation,prereq
24,136,1660,8732,多道程序设计,多道批处理系统,0.5,fallback db relation,prereq
25,67,1853,4402,2元信号量,信号量,0.5,fallback db relation,prereq
26,33,1854,2188,设备管理,设备管理子系统,0.5,fallback db relation,prereq
27,9,1895,724,页管理机制,虚拟内存管理,0.5,fallback db relation,prereq
29,48,2011,3211,异常,访存异常,0.5,fallback db relation,prereq
30,129,2044,8047,通信方式,进程通信机制,0.5,fallback db relation,prereq
31,159,2079,10093,消息队列,队列,0.5,fallback db relation,prereq
32,166,2147,10395,别名,操作系统,0.5,fallback db relation,prereq
33,143,2188,9194,设备管理子系统,I/O设备,0.5,fallback db relation,prereq
35,143,2267,9194,硬盘,I/O设备,0.5,fallback db relation,prereq
36,74,2289,4860,段描述符,数据段,0.5,fallback db relation,prereq
37,72,2365,4788,匹配算法,移臂调度算法,0.5,fallback db relation,prereq
38,143,2456,9194,外部设备,I/O设备,0.5,fallback db relation,prereq
39,60,2478,3940,缺页,页面置换算法,0.5,fallback db relation,prereq
40,166,2670,10395,UNIX操作系统,操作系统,0.5,fallback db relation,prereq
41,94,2700,5783,页表手段,页表,0.5,fallback db relation,prereq
42,116,2727,7451,文件缓存,文件系统,0.5,fallback db relation,prereq
44,78,2765,5131,程序,进程,0.5,fallback db relation,prereq
45,166,3037,10395,软件故障,操作系统,0.5,fallback db relation,prereq
46,143,3081,9194,软盘,I/O设备,0.5,fallback db relation,prereq
48,39,3211,2478,访存异常,缺页,0.5,fallback db relation,prereq
49,105,3324,6486,索引节点,目录,0.5,fallback db relation,prereq
51,141,3419,9089,管态,特权指令,0.5,fallback db relation,prereq
52,47,3694,3150,接口,服务接口,0.5,fallback db relation,prereq
55,94,3813,5783,虚拟页,页表,0.5,fallback db relation,prereq
56,116,3867,7451,文件分配机制,文件系统,0.5,fallback db relation,prereq
57,116,3869,7451,文件系统功能,文件系统,0.5,fallback db relation,prereq
59,43,3885,2730,效率,处理机调度,0.5,fallback db relation,prereq
61,112,3956,7197,常规函数调用,系统调用,0.5,fallback db relation,prereq
62,113,3992,7264,优先级重置,优先级反转,0.5,fallback db relation,prereq
63,94,4175,5783,页表项标志位,页表,0.5,fallback db relation,prereq
64,126,4243,7936,银行家算法,死锁避免,0.5,fallback db relation,prereq
66,11,4346,760,CPU,保护模式,0.5,fallback db relation,prereq
67,4,4402,358,信号量,条件变量,0.5,fallback db relation,prereq
67,53,4402,3707,信号量,PV操作,0.5,fallback db relation,prereq
68,66,4449,4346,单处理器,CPU,0.5,fallback db relation,prereq
69,159,4626,10093,数据结构,队列,0.5,fallback db relation,prereq
73,87,4790,5568,特权级,用户态,0.5,fallback db relation,prereq
73,108,4790,7106,特权级,内核态,0.5,fallback db relation,prereq
75,112,4954,7197,库函数,系统调用,0.5,fallback db relation,prereq
76,66,5015,4346,寄存器,CPU,0.5,fallback db relation,prereq
78,54,5131,3807,进程,进程控制块,0.5,fallback db relation,prereq
78,85,5131,5476,进程,子进程,0.5,fallback db relation,prereq
80,9,5244,724,管理机制,虚拟内存管理,0.5,fallback db relation,prereq
81,14,5259,929,视频剪辑,应用软件,0.5,fallback db relation,prereq
82,74,5270,4860,DS段寄存器,数据段,0.5,fallback db relation,prereq
84,78,5437,5131,内核线程,进程,0.5,fallback db relation,prereq
86,78,5529,5131,进程释放,进程,0.5,fallback db relation,prereq
88,70,5580,4714,内存单元,内存管理,0.5,fallback db relation,prereq
89,105,5602,6486,文件指针,目录,0.5,fallback db relation,prereq
91,21,5660,1441,锁,共享资源,0.5,fallback db relation,prereq
93,60,5769,3940,局部置换算法,页面置换算法,0.5,fallback db relation,prereq
94,118,5783,7511,页表,页目录表,0.5,fallback db relation,prereq
95,165,5809,10306,CS段寄存器,代码段,0.5,fallback db relation,prereq
96,78,5932,5131,用户进程,进程,0.5,fallback db relation,prereq
98,66,5968,4346,处理机,CPU,0.5,fallback db relation,prereq
99,43,5977,2730,进程调度,处理机调度,0.5,fallback db relation,prereq
102,70,6135,4714,物理内存管理,内存管理,0.5,fallback db relation,prereq
104,103,6356,6332,工作集置换算法,缺页率置换算法,0.5,fallback db relation,prereq
106,43,6853,2730,处理器调度,处理机调度,0.5,fallback db relation,prereq
107,70,7008,4714,内存分配,内存管理,0.5,fallback db relation,prereq
108,87,7106,5568,内核态,用户态,0.5,fallback db relation,prereq
109,97,7108,5934,冗余磁盘阵列,块设备,0.5,fallback db relation,prereq
110,18,7150,1242,启动,初始化,0.5,fallback db relation,prereq
111,56,7188,3867,扇区索引信息,文件分配机制,0.5,fallback db relation,prereq
112,47,7197,3150,系统调用,服务接口,0.5,fallback db relation,prereq
113,67,7264,4402,优先级反转,信号量,0.5,fallback db relation,prereq
115,8,7416,712,实时调度,硬时限,0.5,fallback db relation,prereq
115,79,7416,5140,实时调度,软时限,0.5,fallback db relation,prereq
116,71,7451,4761,文件系统,虚拟文件系统,0.5,fallback db relation,prereq
116,131,7451,8109,文件系统,网络文件系统,0.5,fallback db relation,prereq
116,138,7451,8842,文件系统,磁盘文件系统,0.5,fallback db relation,prereq
116,154,7451,9698,文件系统,SFS,0.5,fallback db relation,prereq
117,66,7482,4346,程序状态字寄存器,CPU,0.5,fallback db relation,prereq
120,9,7599,724,取消段机制,虚拟内存管理,0.5,fallback db relation,prereq
121,67,7637,4402,信号量机制,信号量,0.5,fallback db relation,prereq
122,140,7690,9013,中断处理例程,中断,0.5,fallback db relation,prereq
123,68,7825,4449,并行性,单处理器,0.5,fallback db relation,prereq
124,58,7840,3879,就绪状态,阻塞状态,0.5,fallback db relation,prereq
125,142,7934,9116,时间片,进程调度策略,0.5,fallback db relation,prereq
127,143,7971,9194,设备,I/O设备,0.5,fallback db relation,prereq
128,9,8013,724,虚拟地址空间,虚拟内存管理,0.5,fallback db relation,prereq
129,31,8047,2079,进程通信机制,消息队列,0.5,fallback db relation,prereq
129,34,8047,2261,进程通信机制,共享内存,0.5,fallback db relation,prereq
129,77,8047,5108,进程通信机制,管道,0.5,fallback db relation,prereq
130,1,8095,43,死锁检测算法,死锁检测,0.5,fallback db relation,prereq
132,91,8287,5660,共享变量,锁,0.5,fallback db relation,prereq
133,167,8527,10442,伙伴系统,外碎片,0.5,fallback db relation,prereq
134,9,8567,724,Swap分区,虚拟内存管理,0.5,fallback db relation,prereq
135,50,8597,3360,进程创建,进程加载,0.5,fallback db relation,prereq
137,53,8750,3707,原子操作,PV操作,0.5,fallback db relation,prereq
139,1,8919,43,死锁,死锁检测,0.5,fallback db relation,prereq
139,28,8919,1938,死锁,死锁预防,0.5,fallback db relation,prereq
139,126,8919,7936,死锁,死锁避免,0.5,fallback db relation,prereq
140,65,9013,4310,中断,中断向量地址,0.5,fallback db relation,prereq
140,101,9013,6024,中断,外部中断,0.5,fallback db relation,prereq
140,114,9013,7393,中断,中断描述符表,0.5,fallback db relation,prereq
142,43,9116,2730,进程调度策略,处理机调度,0.5,fallback db relation,prereq
143,90,9194,5645,I/O设备,网络设备,0.5,fallback db relation,prereq
143,92,9194,5697,I/O设备,字符设备,0.5,fallback db relation,prereq
143,97,9194,5934,I/O设备,块设备,0.5,fallback db relation,prereq
144,143,9206,9194,IO数据传输,I/O设备,0.5,fallback db relation,prereq
145,78,9250,5131,并发进程,进程,0.5,fallback db relation,prereq
146,49,9295,3324,多级索引,索引节点,0.5,fallback db relation,prereq
147,78,9323,5131,系统进程,进程,0.5,fallback db relation,prereq
148,14,9373,929,应用程序,应用软件,0.5,fallback db relation,prereq
150,78,9451,5131,用户线程,进程,0.5,fallback db relation,prereq
153,169,9625,10482,资源,资源管理,0.5,fallback db relation,prereq
155,10,9741,735,虚拟设备,设备文件系统,0.5,fallback db relation,prereq
157,9,9805,724,逻辑地址空间,虚拟内存管理,0.5,fallback db relation,prereq
158,15,9810,930,FIFO置换算法,CLOCK置换算法,0.5,fallback db relation,prereq
160,56,10153,3867,文件分配,文件分配机制,0.5,fallback db relation,prereq
161,143,10235,9194,I/O系统,I/O设备,0.5,fallback db relation,prereq
162,90,10238,5645,蓝牙,网络设备,0.5,fallback db relation,prereq
163,78,10241,5131,生命周期,进程,0.5,fallback db relation,prereq
164,129,10286,8047,进程通信原理,进程通信机制,0.5,fallback db relation,prereq
165,74,10306,4860,代码段,数据段,0.5,fallback db relation,prereq
166,14,10395,929,操作系统,应用软件,0.5,fallback db relation,prereq
166,149,10395,9413,操作系统,系统软件,0.5,fallback db relation,prereq
168,84,10475,5437,线程,内核线程,0.5,fallback db relation,prereq
168,150,10475,9451,线程,用户线程,0.5,fallback db relation,prereq
169,21,10482,1441,资源管理,共享资源,0.5,fallback db relation,prereq
170,72,10505,4788,电梯调度算法,移臂调度算法,0.5,fallback db relation,prereq
171,151,10508,9542,物理页帧,物理页,0.5,fallback db relation,prereq
